Nombre Municipio o Total Provincial y/o CC.AA.;Código INE;Población  2012;Población  2011;Población  2010;Población  2009;Población  2008;Población  2007;Población  2006;Población  2005;Población varones;Población mujeres;Población españoles;Población extranjeros;Variación población 07-12 (Absoluta);Variación población españoles 07-12 (absoluta);Variación población extranjera 07-12 (absoluta);Variación población 07-12 (%);Ritmo de crecimiento medio anual de la población 07-12;Extensión (km2);Paro registrado en % s/población potencialmente activa 2012;% Paro de varones;% Paro de mujeres;% Paro de 16 a 24 años;% Paro de 25 a 49 años;% Paro de 50 a 64 años;Cuota de mercado  2012 ;Teléfonos  fijos 2012;Variación teléfonos fijos 07-12 (%);Líneas de banda ancha  2012;Vehículos de motor  2012;Automóviles  2012;Camiones y furgonetas  2012;Otros vehículos de motor 2012;Motocicletas;Autobuses;Tractores  industriales;Resto vehículos de motor;Variación total vehículos de motor 07-12 (%);Variación automóviles 07-12 (%);Variación camiones y furgonetas 07-12 (%);Variación otros vehículos de motor 07-12 (%);Oficinas de entidades de depósito  2013;Variación oficinas entidades de depósito 08-13 (Absoluta);Actividades industriales (industria y construcción);Actividades industriales: industria;Energía y agua;"Extracción y transf. min.energ y deriv.; ind.quím";"Industrias transf. de metales; mec. precisión";Industrias manufactureras;Actividades industriales: construcción;Variación actividades industriales 07-12 (%);Actividades comerciales mayoristas;"Materias primas agrarias; alim., bebidas y tabaco";Textiles, confección, calzado y artículos de cuero;"Productos farmac; perfum. y mant. hogar";Comercio al por mayor de art. consumo duradero;Comercio al por mayor interindustrial;Otro comercio al por mayor interindustrial;Otro comercio al por mayor no especificado;Variación actividades comerciales mayoristas 07-12 (%);Actividades comerciales minoristas  2012;Act. com. alimentación;Act. com. tradicional;Act. com. supermercados;Act. com. total no alimentación;Act. com vestido y calzado;Act. com. hogar;Act. com. resto no alimentación;Act. com. c. mixto y otros;Act. com. grandes almacenes;Act. com. hipermercados;Act. com. almacenes populares;Act. com. ambulante y mercadillos;Act. com otro comercio;Variación actividades comerciales minoristas 07-12 (%);Superficie-m2 actividades comerciales minoristas;Superficie-m2 alimentación;Superficie-m2 com. tradicional alim.;Superficie-m2 supermercados;Superficie-m2 total no alimentación;Superficie-m2 vestido y calzado;Superficie-m2 hogar;Superficie-m2 resto no alimentación;Superficie-m2 c. mixto y otros;Superficie-m2 grandes almacenes;Superficie-m2 hipermercados;Superficie-m2 almacenes populares;Superficie-m2 otro comercio;Centros comerciales;Superficie-m2 Centros comerciales  2012;Actividades de restauración y bares;Variación actividades de restauración y bares 07-12 (%);Índice industrial;Índice comercial;Índice comercial mayorista;Índice comercial minorista;Índice de restauración y bares;Índice turístico;Índice turístico 2006;Índice actividad económica;Índice actividad económica 2006
Abanilla;30001;6.569;6.633;6.585;6.589;6.642;6.568;6.333;6.265;3.313;3.256;5.636;933;1;-249;250;0,0;0,0;236;13,9;15,2;12,0;12,6;16,9;9,5;14;1.744;-14,0;734;5.542;3.343;1.161;1.023;319;12;57;650;8,2;9,2;4,2;9,4;6;-1;153;88;6;39;7;36;65;-8,1;24;12;1;1;1;2;5;2;-3,7;79;33;32;1;38;7;7;24;8;0;0;0;3;5;-28,6;3.583;1.122;422;700;2.145;286;189;1.670;316;0;0;0;316;0;n.d.;33;-35,7;27;7;10;4;9;1;1;13;12
Abarán;30002;13.110;12.986;12.974;12.991;12.987;12.968;12.919;12.917;6.628;6.482;11.872;1.238;142;13;129;1,1;0,2;115;8,7;8,8;9,0;5,7;10,3;7,0;26;3.044;4,6;1.986;10.011;6.197;1.433;2.486;733;19;43;1.586;11,0;12,6;8,6;8,4;9;-1;129;69;1;7;10;51;60;-18,2;57;42;0;3;3;1;6;2;-15,7;210;95;85;10;92;14;25;53;23;0;0;0;4;19;-25,1;19.959;8.795;3.214;5.581;10.159;772;2.124;7.263;1.005;0;0;0;1.005;0;n.d.;54;-29,3;7;21;27;16;24;1;1;11;13
Abla;04001;1.465;1.480;1.463;1.504;1.503;1.514;1.505;1.512;765;700;1.288;177;-49;-121;72;-3,2;-0,7;45;11,8;13,6;9,7;8,4;12,5;12,3;3;361;-15,7;141;1.208;676;223;305;122;0;3;184;9,4;6,8;13,2;12,8;2;0;15;7;2;1;2;2;8;7,7;2;1;0;0;0;0;1;0;-60,0;13;6;6;0;6;1;2;3;1;0;0;0;0;1;-60,6;3.033;806;806;0;2.209;86;998;1.125;18;0;0;0;18;0;n.d.;6;-50,0;6;1;1;1;1;0;1;3;1
Abrera;08001;11.870;11.611;11.469;11.521;11.278;10.840;10.244;9.839;6.072;5.798;10.899;971;1.030;984;46;9,5;1,8;20;11,2;9,4;13,4;7,2;11,7;12,1;23;4.770;5,2;2.550;9.320;6.607;1.200;1.503;956;7;79;471;8,3;7,3;3,1;18,0;5;-2;151;84;2;8;45;29;67;0,7;56;4;3;3;17;5;18;6;27,9;141;23;15;8;109;22;35;52;9;0;1;0;1;7;-21,9;33.839;3.259;375;2.884;21.948;1.481;10.612;9.855;8.632;0;7.000;0;1.632;1;17.282;45;-17,2;56;24;33;17;11;1;1;30;38
Abrucena;04002;1.360;1.391;1.367;1.341;1.366;1.379;1.339;1.358;699;661;1.251;109;-19;-73;54;-1,4;-0,3;84;10,1;10,8;8,7;5,0;13,6;7,6;3;282;-17,4;105;1.297;653;339;295;108;2;6;189;25,1;25,1;9,7;48,1;1;0;25;13;2;0;3;8;12;-7,7;4;2;0;0;0;0;2;0;-20,0;17;7;6;1;10;1;4;5;0;0;0;0;0;0;-42,9;1.967;711;641;70;1.256;110;963;183;0;0;0;0;0;0;n.d.;9;-25,0;10;1;2;1;1;1;1;4;1
Adeje;38001;46.894;45.134;43.801;43.204;41.002;38.245;36.764;33.722;24.065;22.829;22.790;24.104;8.649;2.247;6.402;22,6;4,2;106;11,2;10,4;12,8;6,7;11,7;12,5;103;22.447;61,5;14.482;30.145;21.012;5.279;3.756;2.054;51;16;1.733;13,7;11,1;14,1;29,7;30;-12;224;61;14;3;14;30;163;-13,1;77;33;5;3;14;3;10;9;-19,6;1.189;226;168;58;705;179;244;282;258;1;1;1;154;101;-31,1;101.860;29.049;4.214;24.835;55.089;11.976;22.589;20.524;17.722;3.000;3.130;300;11.292;2;16.597;849;-3,1;24;104;64;134;177;2.748;2.489;143;117
Ademuz;46001;1.258;1.292;1.285;1.286;1.269;1.242;1.183;1.157;671;587;984;274;16;-106;122;1,3;0,3;100;11,0;10,2;11,0;8,5;13,6;7,4;4;496;3,3;171;932;490;260;192;48;2;9;123;13,4;15,8;8,8;13,8;4;-1;29;13;4;2;3;4;16;21,2;11;8;0;0;1;0;2;0;-7,7;28;9;7;2;16;4;4;8;3;0;0;0;1;2;-21,4;1.618;540;239;301;1.018;158;130;730;60;0;0;0;60;0;n.d.;8;-20,0;1;3;3;2;2;3;3;1;2
Ador;46002;1.440;1.542;1.510;1.474;1.513;1.463;1.398;1.385;735;705;1.264;176;-23;10;-33;-1,6;-0,3;14;14,1;13,3;12,7;10,9;15,4;13,1;3;419;-26,4;220;1.232;711;243;270;122;0;4;152;12,8;9,2;15,7;20,3;1;-2;22;6;0;4;0;2;16;-25,7;7;5;0;0;0;0;1;1;0,0;5;1;1;0;4;0;1;3;0;0;0;0;0;0;-16,7;137;4;4;0;133;0;59;74;0;0;0;0;0;0;n.d.;4;-60,0;1;1;3;0;1;1;1;1;1
Adra;04003;24.626;24.512;24.512;24.373;23.880;23.742;23.545;23.195;12.493;12.133;21.563;3.063;884;-41;925;3,7;0,7;90;19,3;17,6;21,4;11,6;21,7;19,3;53;6.643;7,8;4.409;17.170;10.052;4.282;2.800;822;19;256;1.739;9,6;10,6;6,9;10,5;18;-6;169;56;1;9;17;29;113;-27,2;65;50;0;2;4;1;8;0;-23,3;393;106;97;9;259;46;66;147;28;0;0;1;1;26;-30,1;39.377;8.427;2.777;5.650;27.056;817;10.929;15.310;3.894;0;0;1.423;2.471;0;n.d.;106;-20,8;6;34;36;32;34;9;13;20;23
Agüimes;35002;29.912;29.767;29.431;28.924;28.224;27.310;26.593;25.541;15.175;14.737;27.607;2.305;2.602;2.385;217;9,5;1,8;79;21,1;19,7;22,8;13,5;22,5;22,5;65;12.854;28,4;9.020;19.965;11.825;5.787;2.370;1.008;158;140;1.047;16,9;17,1;13,2;26,2;18;-1;414;256;60;32;59;105;158;-10,4;344;126;14;32;67;26;59;20;2,9;439;120;93;27;279;31;95;153;40;0;1;2;12;25;-24,1;141.327;19.584;3.029;16.555;103.283;3.716;66.672;32.895;18.460;0;9.282;1.432;7.746;0;n.d.;129;-15,2;57;127;212;62;38;4;6;58;48
